Name,Team,KaD,MK,Opk,Clt_won,Bmb_act,Trading,Eff_flash,Utility,Map,Year,Map_Type,Event,Self,Teamplay,Support,Rating,Placement
NAF,Liquid,0.737,3,1,0,0,2.8,2.57,0.41,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,3.737,1,5.78,1.022,5-8th
EliGE,Liquid,1.471,6,0.5,0,0,2.4,1.469,0.31,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,7.471,0.5,4.179,1.085,5-8th
Magisk,Astralis,2.071,3,1.75,1,0.221,4.8,2.121,0.38,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,5.071,2.971,7.301,1.186,1st
gla1ve,Astralis,0.833,2,1.25,0,0,1.4,2.55,0.43,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,2.833,1.25,4.38,0.928,1st
device,Astralis,2.077,7,2,1,0.105,6.2,2.143,0.4,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,9.077,3.105,8.743,1.321,1st
Stewie2K,Liquid,0.611,0,0.429,0,0.105,1.2,0.945,0.34,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,0.611,0.534,2.485,0.56,5-8th
dupreeh,Astralis,2.364,9,1.5,0,0.105,1,0.923,0.33,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,11.364,1.605,2.253,1.182,1st
Xyp9x,Astralis,1.538,2,0,0,0.35,0.8,2.904,0.6,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,3.538,0.35,4.304,0.913,1st
nitr0,Liquid,0.722,3,0.6,0,0.221,3.8,2.204,0.39,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,3.722,0.821,6.394,1.039,5-8th
Twistzz,Liquid,1.105,4,0,0,0,4.6,2.728,0.44,de_vertigo,07-09-2019,BO1,StarLadder Major Berlin 2019,5.105,0,7.768,1.11,5-8th
device,Astralis,1.75,8,0.9,1,0,2.6,2.673,0.56,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,9.75,1.9,5.833,1.243,1st
EliGE,Liquid,1.1,3,1.4,1,0.105,3.6,1.477,0.53,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,4.1,2.505,5.607,1.087,5-8th
Magisk,Astralis,1.842,6,1.6,0,0.105,3.2,2.398,0.59,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,7.842,1.705,6.188,1.197,1st
Twistzz,Liquid,1.091,4,0.333,0,0,5.6,2.333,0.57,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,5.091,0.333,8.503,1.144,5-8th
Stewie2K,Liquid,0.857,2,1,0,0.221,1,3.096,0.61,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,2.857,1.221,4.706,0.944,5-8th
nitr0,Liquid,0.909,3,0.75,0,0.221,3.4,6.646,0.68,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,3.909,0.971,10.726,1.193,5-8th
dupreeh,Astralis,1.381,5,1,0,0,1.6,1.861,0.37,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,6.381,1,3.831,1.05,1st
Xyp9x,Astralis,1.867,3,1.667,0,1.46,4.6,5.316,0.64,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,4.867,3.127,10.556,1.268,1st
gla1ve,Astralis,1.312,2,0.5,0,0.105,0.4,4.045,0.65,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,3.312,0.605,5.095,0.955,1st
NAF,Liquid,0.957,5,0.667,0,0.35,3,3.2,0.68,de_overpass,07-09-2019,BO1,StarLadder Major Berlin 2019,5.957,1.017,6.88,1.142,5-8th
gla1ve,Astralis,5.75,4,1,0,0,1.6,1.624,0.47,de_dust2,16-09-2018,BO1,FACEIT Major 2018,9.75,1,3.694,1.16,1st
device,Astralis,3.222,7,1,0,0,3.4,1.089,0.36,de_dust2,16-09-2018,BO1,FACEIT Major 2018,10.222,1,4.849,1.206,1st
